company,role,salary,experience,Location,description,skills,qualification,industry_type,Functional_area,Employment_type,Role_category
We are in business of Textile recycling and we employ over 700 people.,"RoleMarketing Research Executive/Manager,",Not Disclosed,0 - 4 years,Gandhidham,"Job descriptionWe are looking to hire MBA intern for 3 months for international marketing project.The intern will be required to research and create database of potential companies overseas that our company can work with.For the entire duration of internship you can work from home.Apply only if:You have excellent command of EnglishYou can work in un-supervised environmentYou have very good excel skillsLucrative stipend will be paid on basis of task completed and goals achieved.Perks and BenefitsLucrative stipend bases on target completed and goals achievedRoleMarketing Research Executive/Manager,Industry TypeOther,Functional AreaMarketing, Advertising, MR, PR, Media Planning,Employment TypeFull Time, PermanentRole CategoryMarketing ResearchEducationUG :Any Graduate in Any SpecializationPG :MBA/PGDM in International Business, MarketingDoctorate :Doctorate Not RequiredKey Skillsmarketinginternational marketingmarketing managerbusiness development executivebusiness developmentinternational businessbdmbusiness development managermbainternship","['marketing', 'international marketing', 'marketing manager', 'business development executive', 'business development', 'international business', 'bdm', 'business development manager', 'mba', 'internship']","['UG :Any Graduate in Any Specialization', 'PG :MBA/PGDM in International Business, Marketing', 'Doctorate :Doctorate Not Required']","Industry TypeOther,","Functional AreaMarketing, Advertising, MR, PR, Media Planning,","Employment TypeFull Time, Permanent",Role CategoryMarketing Research
"Healthcare, hundred in size, Cancer treatment, Standing in India","RoleDirect Marketing Executive,",Not Disclosed,1 - 5 years,Hyderabad,"Job descriptionJob    Description:    Develop network throughout    hospitals, clinics, polyclinics and other healthcare providers in their    allotted catchment area.    Regular follow up with    specialist and hospital doctors etc. Arranging appointments with doctors    which may include pre-arranged appointments or regular calling.  Facilitating medical conferences. Developing growth strategies and    plans for increasing opportunities. Identify and develop new and    existing referral sources to develop successful referring relationships. Conducting marketing activities to    increase brand awareness and gain new doctor relationships. Maintain marketing collateral    inclusive of presentation templates. Support, facilitate and implement    local marketing plan. Process and develop requests,    monthly reports and process invoices. Keep up to date with the key    research activities of the organization. Develop an in-depth knowledge of    services provided and value proposition. Following industry trends locally    and internationally.  Required Candidate profileSkills:Knowledge of medical terminologies.Good sales performance track record.Excellent communication skills, patience and energy.Ability to converse fluently in 2-3 languages is a must.Should have strong integrity and leadership traits.Building relationships, resolving conflict, collaboration, listening, scheduling, teamwork.Ability to learn quickly and handle multiple tasks whenever required.Note: Must have an own transport vehicle.Desired profile of the candidate-  Experience    in Medical or OncologyRoleDirect Marketing Executive,Industry TypeMedical, Healthcare, Hospitals,Functional AreaMarketing, Advertising, MR, PR, Media Planning,Employment TypeFull Time, PermanentRole CategoryMarketingEducationUG :Any Graduate in Any SpecializationPG :Any Postgraduate in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsCommunication SkillsMonthly ReportsSalesConferencesField MarketingBrand AwarenessMarketing PlanningLocal Marketing","['Communication Skills', 'Monthly Reports', 'Sales', 'Conferences', 'Field Marketing', 'Brand Awareness', 'Marketing Planning', 'Local Marketing']","['UG :Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required']","Industry TypeMedical, Healthcare, Hospitals,","Functional AreaMarketing, Advertising, MR, PR, Media Planning,","Employment TypeFull Time, Permanent",Role CategoryMarketing
Decon Management Services Pvt Ltd,"RolePackaging Development Executive/Manager,",Not Disclosed,2 - 5 years,Mumbai,"Job descriptionJob DetailsJob Responsibilities Development of new packaging materials (Selection of materials, vendors)Art work development along with Legal and design teamValidation of various existing and new packaging materials for its suitabilityShelf life validation of newly developed materialsInspection and approval of incoming new packaging materialsPreparation of Specification sheet and Certificate of Analysis preparationsHandling various packaging instruments, equipmentDevelopment of mould, cylinders, plates for any new development along with vendor supportKnowledge on various colours like pantone shade cards and other similar shade cardsApproval of shade cards, art work, legal mandates, etcExplore new technology & materials such as recyclable / reusable plastic / polymers as packing materialNegotiating with vendors on new packaging, materials, instruments & analysis Required Candidate profileEducation- Degree/PG-Diploma/Diploma courses from any Branches of Indian Institute of Packaging (IIP) / CIPETRolePackaging Development Executive/Manager,Industry TypeFMCG, Foods, Beverage,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Diploma in Any SpecializationPG :PG Diploma in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsExecutive - Packaging DevelopmentPackagingPackaging Development","['Executive - Packaging Development', 'Packaging', 'Packaging Development']","['UG :Diploma in Any Specialization', 'PG :PG Diploma in Any Specialization', 'Doctorate :Doctorate Not Required']","Industry TypeFMCG, Foods, Beverage,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"A leading staffing & recruitment company based at Hyderabad, providing recruitment solutions Across India & Overseas.","RolePackaging Development Executive/Manager,",Not Disclosed,5 - 10 years,Hyderabad,"Job descriptionLooking for candidates with min 5 years of experience into Packaging development for Injectables.           Candidateshould  have exposure in R&D with Injectable background & check with the  candidate for experience on Primary & Secondary packaging development for  Vail, Ampule, Infusion Bags, Auto Injector, Pen Devices etc.,       Interested candidates can share there profiles to hr@mydashboards.in    RolePackaging Development Executive/Manager,Industry TypePharma, Biotech, Clinical Research,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillspackaging developmentInjectables","['packaging development', 'Injectables']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :Post Graduation Not Required, Any Postgraduate in Any Specialization', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypePharma, Biotech, Clinical Research,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
Leading Client,"RoleHead/VP/GM-Packaging Development,",Not Disclosed,10 - 18 years,Mumbai,"Job description  The role will have dual-responsibility, and aim to drive (i) Strategic Category Management across APAC countries on Packaging and (ii) Procurement Operation in the ASEAN/Taiwan cluster for all the E2E PKG contract execution.   The candidate is expected to drive best practices, regional sourcing strategy, and demand management to optimize total value contribution for all the relevant Packaging material categories including flexibles, cartons, corrugated   The individual is also required to work with global procurement team & business stakeholders to ensure global programs/strategies are aligned with regional/country priorities and meeting local business expectations. The role requires developing strong influential relationships with key stakeholders related to packaging category sourcing and ensure business alignment and remove the barriers & constraints to maximize the value to corporate & region.    General Responsibilities :   A) Regional Packaging Category Strategy Development and establish Category COE and drive best practices   B) Lead Packaging category strategies execution and accountable for E2E procurement packaging operations for ASEAN & Taiwan Cluster countries.   C) Internal Stakeholder Collaboration and Leadership Engagement   D) Supplier Relationship Management (SRM)   E) Lead Talent Development in ASEAN Cluster   F) Minimum of 10 years of regional experiences in procurement or business-related function   G) Experience in stakeholder management and senior leadership engagement RoleHead/VP/GM-Packaging Development,Industry TypeFMCG, Foods, Beverage,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :Any Postgraduate in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsProcurementCategory ManagementPackagingCategory Strategy DevelopmentSourcing","['Procurement', 'Category Management', 'Packaging', 'Category Strategy Development', 'Sourcing']","['UG :Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required']","Industry TypeFMCG, Foods, Beverage,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"Young Trendz is a venture by young & passionate fashion designers. It is an online platform for men & women apparels. A creative approach to clothing by young entrepreneurs mainly aimed at Fashion and Styling. An fashion apparel brand for latest designs with huge range of trendy collections in women's & men's fashion for every season. Our Label 'Young Trendz' We sell youthful,  colourful & comfortable clothing which is fashionable & trendy at the same time at a very affordable price to buy at. Our USP is 'Out of door in no time' clothing. Our ready to wear clothing fashion label is aimed at super cool trendy clothing which is affordable & comfortable & least time consuming to dress in. Our tag line is 'Be Young,  Shop Trendy' which is the whole idea behind the label. We make clothing which is least expensive at the same time of good quality and design!","RolePackaging Development Executive/Manager,",Not Disclosed,0 - 1 years,tamil nadu,"Job description  Qualification     Graduate/BE/B Tech/ MBA   Good communication skills   Team leadership   Basic Knowledge of MS-Office and use of Excel   Experience in packaging in courier industry will be added advantage   Good in conflict management   Good in vendor management     Experience :   Freshers can apply.   Job Description :      Define Packaging guidelines   Educating vendors regarding packaging standard   Packaging audit to assure the quality of packaging   Have good knowledge about packaging material costing ,   Maintain healthy relations with all internal and external stake holders    Coordination with internal teams resolve vendor issue.    Maintain relationship with vendors and ensure SOP adherence   Team Management   Daily Reporting        RolePackaging Development Executive/Manager,Industry TypeTextiles, Garments, Accessories,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :MBA/PGDM in MarketingKey SkillsBasicTeam managementCostingConflict managementRelationshipPackagingVendorMS OfficeLogisticsAuditing","['Basic', 'Team management', 'Costing', 'Conflict management', 'Relationship', 'Packaging', 'Vendor', 'MS Office', 'Logistics', 'Auditing']","['UG :Any Graduate in Any Specialization', 'PG :MBA/PGDM in Marketing']","Industry TypeTextiles, Garments, Accessories,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"Process Consulting, Process Management & Process Outsourcing","RolePackaging Development Executive/Manager,",Not Disclosed,2 - 6 years,Mumbai,"Job descriptionPackaging Executive Powai ,  MumbaiRolePackaging Development Executive/Manager,Industry TypeRecruitment, Staffing,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredKey SkillsExecutive Packaging",['Executive Packaging'],"['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required']","Industry TypeRecruitment, Staffing,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
RANDSTAD INDIA PVT LTD,"RolePackaging Development Executive/Manager,","₹ 50,000 - 3,00,000 P.A. ",5 - 10 years,Pune,"Job descriptionJoB : Randstad Payroll ( OFF ROLL )       Thorough knowledge of manufacturing processes and the ability to design within reasonable limits of these processes.    Analyze current packaging operations to determine target areas for process improvement flow.    Provide continuous improvement studies aimed at identifying packaging-related cost reduction, Protection improvement opportunities.    Analyze product / packaging damage issues and implement effective and timely solutions to bring resolution and improve customer satisfaction.    Develop material strategies to optimize efficiencies at packaging and supplier locations.    Knowledgeable and compliant with all environmental regulations, safety, and HAZMAT codes.US/EU/IN    Good knowledge base on packaging materials, formats, and equipment    Excellent written and verbal communication skills.    Proficiency with the Microsoft Office suite of software, with particular strength in Microsoft Excel    Job Profile:  Roles & Responsibilities    Designs, develops and validates new automotive shipping packaging including racks, Shipping Box, thermal form trim, injection molded components such as engine Cooling Modules, and transmission oil coolers.    Execute packaging strategies to support new product development and existing product packaging.    Executes work in compliance with site Standards, policies, work instructions, and SOPs    Work with subcontractors to develop, run DOE to optimize processes and establish process spec    Work with cross functional teams and provide packaging engineering/manufacturing expertise to help commercialize new products within cost/time targets    Individual responsible for managing Work orders, Quality, Guide team members, Customer interaction etc.    CAD/CAE Tools  Catia, Solidworks.  Qualification  BE / BS (Packaging) from an accredited university  Location  hinjewadi Pune  RolePackaging Development Executive/Manager,Industry TypeAutomobile, Auto Anciliary, Auto Components,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any Specialization, Graduation Not RequiredPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey SkillsDesignCATIAEngine CoolingPackaging EngineeringCADManufacturingMS OfficeSolid WorksCae ToolsAutomotive","['Design', 'CATIA', 'Engine Cooling', 'Packaging Engineering', 'CAD', 'Manufacturing', 'MS Office', 'Solid Works', 'Cae Tools', 'Automotive']","['UG :Any Graduate in Any Specialization, Graduation Not Required', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypeAutomobile, Auto Anciliary, Auto Components,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"Established in the year 1993, we are one of the leading manufacturers & suppliers of all kinds of wooden cases, wooden pallets, wooden crates, wooden sheets & aluminum foil bags. We also undertake packaging contracts with companies in their premises and pack various machinery and other components effectively.

We take pride in the possession of two manufacturing processing units, where the products are processed through different machines and devices meant to achieve optimum quality. We have a team of professionals who are experts in checking the quality of our range before dispatching the same at the client?s end. Our efficiency is further proved by our workforce who helps in delivering consignment to our bulk buyers in the scheduled time frame all the year round. The packaging job as taken by us is absolutely as per standard packing norms which are globally approved (ISPM NO 15) for wood packaging. Our company has been registered under applied taxation with small scale industries Act 1948 under which we have also provided ESCI and PF Facilities to our workers & subordinates. ESIC CODE NO 33-36416-101 PF CODE NO MH / PUN / 34673. Our firm is presently managed by the under signed on proprietor basis since last fifteen years. Under the profound guidance of our CEO Mr. Ramdas Jaid, we have been able to carve a niche for ourselves in the competitive market. His vast knowledge and rich experience has enabled us to reach the heights of success.","RolePackaging Development Executive/Manager,",Not Disclosed,2 - 4 years,Pune,"Job description  Knowledge of Packaging Change-parts , development of Keylines , have understanding of the Line Packing process Artwork development for Europe Market.    To be aware of the required regulatory requirements Compliance    Great themes.   To Liaison respond to customer queries for all development activities To prepare Packaging Specifications, Test Procedures, Bill of Material batch Packing record issuance to Plant.   Co-ordinate with PM supplier and regulatory department to arrange technical documentations to facilitate regulatory submission.   RolePackaging Development Executive/Manager,Industry TypeIndustrial Products, Heavy Machinery,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredKey SkillsExecutive Packaging DevelopmentCompliancePackagingTesting","['Executive Packaging Development', 'Compliance', 'Packaging', 'Testing']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required']","Industry TypeIndustrial Products, Heavy Machinery,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"FroQ Far East brand Services is a company specialised in high quality packaging development for the international market. We are busy with recruitment in the Chennai Studio. FroQ specialises in packaging design finalization, artwork and lithography on three continents; Europe, Central America and Asia. The FroQ Head Quarters is in the Netherlands. Please visit www.froq.nl for more details","RolePackaging Development Executive/Manager,","₹ 2,50,000 - 5,00,000 P.A. ",2 - 7 years,Chennai,"Job descriptionFroQ Far East Brand Services is searching for candidates familiar with Prepress activities in the packaging industry.Opportunity for graphic designers in an European Concern for the packaging industry in Chennai.Please respond in case you think- taking own responsibility is better than being supervised- feedbacks is always a tool for your development. Open to share your feedbacks in a broader perspective- Personal growth will benefit not only the company but also yourself- Quick wins only gives short duration satisfaction- An environment where you make your co-worker better then yourself will benefit all- Attitude is the base for success, monitoring is ruining it- You believe in taking responsibility rather than role or designation- Find joy in everything you choose to do. It's your own responsibility to love it or to change it.Career with us FroQ brand services offers a rewarding career path for the best and the brightest. We hire enthusiastic, inventive and result-oriented individuals who see beyond the obvious and can think broadly and deeply, bringing greater value.FroQ is strongly dedicated to setting determined goals, rewarding performance, and providing you a people driven, culture-based work environment that you will never want to leave.Responsibilities:- Create packaging artwork files by understanding provided information, guidelines, design templates in a good way- Data management by supplied protocol- Quality check on created artworksGeneral Skills:- Strong desire and willing to learn to develop career in packaging industry.- Good English communication skills (both oral and written skills).- Creative insight to design packagings based on provided briefing information.- Good knowledge in Adobe Creative Suite- Knowledge of packaging artwork creation- Knowledge about internet based programmes like mail & Skype RolePackaging Development Executive/Manager,Industry TypePrinting, Packaging,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Any Doctorate in Any Specialization, Doctorate Not RequiredKey Skillsprepress executivecartonprepressadobe creative suitepackaging developmentartprophotoshopboxpackaginglabelartworkprintingflexopackaging designartwork operatoreskoillustrator","['prepress executive', 'carton', 'prepress', 'adobe creative suite', 'packaging development', 'artpro', 'photoshop', 'box', 'packaging', 'label', 'artwork', 'printing', 'flexo', 'packaging design', 'artwork operator', 'esko', 'illustrator']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Any Doctorate in Any Specialization, Doctorate Not Required']","Industry TypePrinting, Packaging,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
pharma,"RolePackaging Development Executive/Manager,",Not Disclosed,5 - 8 years,Himachalpradesh Othe,"Job descriptionRequired Npd Manager EXP - 7 to 12 yearsRolePackaging Development Executive/Manager,Industry TypePharma, Biotech, Clinical Research,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :B.Pharma in Pharmacy, B.Tech/B.E. in Any Specialization, Other SpecializationPG :Post Graduation Not Required, Any Postgraduate in Any SpecializationDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsDevelopment ManagementNPDNew Product Development","['Development Management', 'NPD', 'New Product Development']","['UG :B.Pharma in Pharmacy, B.Tech/B.E. in Any Specialization, Other Specialization', 'PG :Post Graduation Not Required, Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypePharma, Biotech, Clinical Research,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"For more than six decades, we have believed in offering our customers the best in the beauty and personal care products space. Inspired by Ayurveda and driven by R&D, we innovate products that help customers best express their personalities. We work along with our stakeholders and consumers to remain the best in the business.","RolePackaging Development Executive/Manager,",Not Disclosed,2 - 6 years,Mumbai,"Job description  Packaging development for new product / existing product as per MKTG brief or business requirement.   Arrange packaging material samples for compatibility study. Co-ordinate with RD regarding compatibility to confirm final compatible packaging material.   Arrange initial packaging material samples for machine trials to confirm suitability with machines.   To carry out rigorous testing validation of packaging materials and machines.   To prepare and issue PM specifications, SOP Test Methods to the other stakeholders.   To Develop approve artworks for packaging material in line with MKTG requirement.   Identify, evaluate implement new trends technology in packaging.   To lead value addition, cost optimization continuous improvement projects in existing packaging.   Alternate vendor development Audit.  RolePackaging Development Executive/Manager,Industry TypeConsumer Electronics, Appliances, Durables,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredKey SkillsExecutive Packaging DevelopmentPackaging developmentLocation HeadVendor DevelopmentPackagingManager TechnologyContinuous improvementCost optimizationMarketingAuditing","['Executive Packaging Development', 'Packaging development', 'Location Head', 'Vendor Development', 'Packaging', 'Manager Technology', 'Continuous improvement', 'Cost optimization', 'Marketing', 'Auditing']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required']","Industry TypeConsumer Electronics, Appliances, Durables,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
IT Consulting,"RolePackaging Development Executive/Manager,","₹ 5,00,000 - 7,50,000 P.A. ",4 - 9 years,Hyderabad,"Job descriptionConcern Manager with experience in handling day to day activities within the packhouse to deliver an efficient operation to ensure all the standards pertaining to packing and Quality are met at or below the budgeted cost. Loc: Arjunapatla, SiddipetRequired Candidate profileMinimum of 4 years of exp in managing perishable pack houses.Excellent communication and interpersonal relationship skills.Must have good numerical and planning skills.Proficient IT skills.Self-disciplined, a team player.Experience in ISO std.RolePackaging Development Executive/Manager,Industry TypeAgriculture, Dairy,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Graduation Not Required, Any Graduate in Any SpecializationPG :Any Postgraduate in Any Specialization, Post Graduation Not RequiredDoctorate :Doctorate Not Required, Any Doctorate in Any SpecializationKey SkillsFood ProcessingplantpackagingAgricultureAgro","['Food Processing', 'plant', 'packaging', 'Agriculture', 'Agro']","['UG :Graduation Not Required, Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization, Post Graduation Not Required', 'Doctorate :Doctorate Not Required, Any Doctorate in Any Specialization']","Industry TypeAgriculture, Dairy,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"TherDosePharma Private Limited, a company incorporated as 100% Export Oriented Unit Incorporated in the year 2003Founded by DrNageshPalepu, a US-Indian Citizen with DrBulusu B Teja, Managing DirectorSciDose LLC is US based company co-founded by DrNagesh and Joseph Bohan, in the year 2006TherDose became subsidiary forSciDose in the year 2008 ","RolePackaging Development Executive/Manager,",Not Disclosed,2 - 5 years,Hyderabad,"Job descriptionArtwork (Packaging and Development) RolePackaging Development Executive/Manager,Industry TypePharma, Biotech, Clinical Research,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredKey SkillspakageArtworkPackagingDevelopment","['pakage', 'Artwork', 'Packaging', 'Development']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required']","Industry TypePharma, Biotech, Clinical Research,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"The bright, bold colors of McNROE resonate our solidarity in quality & function. Based on the Golden Triangle Ratio, the blooming-flower mnemonic of our logo symbolizes our growth from humble beginnings to a prosperous organization. Each blossoming petal envisages an emotional journey starting with insatiable enthusiasm of pink, to the passionate dedication of red, a zesty ambition of orange and  yellow hues of warmth & camaraderie.","RolePackaging Development Executive/Manager,",Not Disclosed,8 - 10 years,Kolkata,"Job description

SOP and CQA provided to third party operators with detail of test product to be carried out 

Development of new product packaging as per requirement of marketing and R&D department as per specifications and quality checks to be prepared 

Analyzing the packaging materials of competitor products 

Creating PM specifications for each of the brands that will be used for contract manufacturers 

Ensuring certification testing for PM by getting OM checked 

Latest technology to be brought for packaging molds and flexi packaging 

Technical knowledge of new technology and design should be shared with brand team to update knowledge 

Collaboration with internal stakeholders, i.e. Marketing Team, Manufacturing Team, Procurement Team & external stakeholders, i.e. Packaging Material Vendors 

Preferred Profile 

Post Graduate Diploma in Printing & Packaging Technology 

Packaging Development and execution 

Costing & Cost Optimization of Packaging material, 

Mould Development 

Vendor development and Management 

Design & Innovation, Costing & Cost optimization, Packaging Material & Machineries, Packaging technique  /  Process, Specification Development & Testing parameter Identification, Identification & standardization of Packaging formats, Testing Tech of Packaging materials, System Implementation and Audits 

Effective contributor, Strategic, Analytical, interpretative & Effective communicator 

or enter your registration credentials 

Already have an account or use your login data 

Don't have an account Click here toRolePackaging Development Executive/Manager,Industry TypeFMCG, Foods, Beverage,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :Post Graduation Not RequiredKey SkillsPrintingProcurementCostingdevelopment testingAnalyticalCost reductionVendor DevelopmentPackagingCost optimizationSystem implementation","['Printing', 'Procurement', 'Costing', 'development testing', 'Analytical', 'Cost reduction', 'Vendor Development', 'Packaging', 'Cost optimization', 'System implementation']","['UG :Any Graduate in Any Specialization', 'PG :Post Graduation Not Required']","Industry TypeFMCG, Foods, Beverage,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
"Double HR Consultancy is one of the most promising names in the placement sector of Palghar. We are actively involved in providing best-in-class placement services to various candidates & companies in the city. With our placement services, it has become possible for several candidates & organizations in making their future brighter. We offer a wide assortment of placement services such as work at home services, housekeeping services, corporate training services, HR consultancy services, placement consultancy services and career consultancy services.","RolePackaging Development Executive/Manager,",Not Disclosed,5 - 6 years,Palakkad,"Job description Job Description   The Packaging Supervisor is Responsible for Supervising all Packaging Department Activities On a Daily Basis.    This Position Supervises the Production, Quality, and Warehousing of Product in a Manner Consistent with Company Service and Cost Objectives.   Key Skills   Packaging Executive RolePackaging Development Executive/Manager,Industry TypeStrategy, Management Consulting Firms,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :M.Pharma in PharmacyKey SkillsPacking SupervisorBiotechnologyWarehouseTranslationPharmaExecutive PackagingCostSupervision","['Packing Supervisor', 'Biotechnology', 'Warehouse', 'Translation', 'Pharma', 'Executive Packaging', 'Cost', 'Supervision']","['UG :Any Graduate in Any Specialization', 'PG :M.Pharma in Pharmacy']","Industry TypeStrategy, Management Consulting Firms,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
Flipkart Internet Private Limited,"RolePackaging Development Executive/Manager,",Not Disclosed,2 - 7 years,Bengaluru,"Job descriptionRole - Packaging DesignLocation - BengaluruExpected travel: 10% - 50%Job Description;Metrices driven approach for packaging performance rating with end-to- end ownership of packaging design for various categories.Innovations and Material research to design optimal packaging materials to reduce overall cost per shipment.Design ecommerce ready packaging solutions for all categories from the sellers and Next Gen packaging solutions for ecommerce supply chain.Identify and support cost reduction and customer experience improvement opportunities with regards to PackagingProvide technical support for RCA of customer complaints related to packagingIdentify packaging process improvement and automation opportunities to drive efficiency across fulfilment centersDevelop business case and seek management approvals to drive packaging projectsDevelop plans for Quality assurance and manage Quality management systemVendor development and Management to ensure continuities of supplies with minimum complexity of vendor networkKey Competencies;Knowledge of Packaging material planning and Procurement Good understanding of mechanical and electronic components of packaging machinesGood understanding of machine verification and validation protocolsGood understanding of supplier qualification and audit protocolsGood understanding of regulatory compliances pertaining to packaging materialsData driven approach towardsproblem solvingAbility to think through and work under ambiguous situationsAbility to align and manage complex stakeholder networkHighly analytical in nature and ability to translate strategies into executionAbility to connect with people across teams & levelsStrong bias for Action - Flipkart works at a very rapid paceRolePackaging Development Executive/Manager,Industry TypeInternet, Ecommerce,Functional AreaPackaging,Employment TypeFull Time, PermanentRole CategoryDrug Regulatory Affairs/DocumentationEducationUG :Any Graduate in Any SpecializationPG :Any Postgraduate in Any SpecializationDoctorate :Doctorate Not RequiredKey SkillsProcurementPackaging DesignMaterial PlanningDevelopment ManagementVendor DevelopmentCost ReductionPackaging MachinesCustomer ComplaintsQuality AssuranceSupply Chain","['Procurement', 'Packaging Design', 'Material Planning', 'Development Management', 'Vendor Development', 'Cost Reduction', 'Packaging Machines', 'Customer Complaints', 'Quality Assurance', 'Supply Chain']","['UG :Any Graduate in Any Specialization', 'PG :Any Postgraduate in Any Specialization', 'Doctorate :Doctorate Not Required']","Industry TypeInternet, Ecommerce,","Functional AreaPackaging,","Employment TypeFull Time, Permanent",Role CategoryDrug Regulatory Affairs/Documentation
